Number,Name,Type1,Type2,Total,Attack,Defense,SP Attack,SP Defense,Speed,Weight,Ability1,Ability2,AbilityHA,Possible Moves
0008,Wartortle,Water,,405,59,63,80,65,80,22.5 kg (49.6 lbs),Torrent,,Rain Dish,"Aqua Jet, Aqua Ring, Aqua Tail, Attract, Aura Sphere, Bite, Blizzard, Brick Break, Brine, Dig, Double Team, Dragon Pulse, Endure, Facade, Fake Out, False Swipe, Flail, Fling, Focus Punch, Gyro Ball, Hail, Haze, Hydro Pump, Ice Beam, Iron Defense, Iron Tail, Life Dew, Mirror Coat, Mist, Muddy Water, Protect, Rain Dance, Rapid Spin, Rest, Rock Smash, Rock Tomb, Scald, Shell Smash, Skull Bash, Sleep Talk, Strength, Substitute, Surf, Swagger, Tackle, Tail Whip, Water Gun, Water Pulse, Water Spout, Waterfall, Withdraw, Work Up, Yawn"
0009,Blastoise,Water,,530,79,83,100,85,105,85.5 kg (188.5 lbs),Torrent,,Rain Dish,"Aqua Jet, Aqua Ring, Aqua Tail, Aura Sphere, Bite, Fake Out, Flail, Flash Cannon, Haze, Hydro Cannon, Hydro Pump, Iron Defense, Life Dew, Mirror Coat, Mist, Muddy Water, Protect, Rain Dance, Rapid Spin, Shell Smash, Skull Bash, Tackle, Tail Whip, Water Gun, Water Pulse, Water Spout, Withdraw, Yawn"
0009,Blastoise,Water,,630,79,103,120,135,115,85.5 kg (188.5 lbs),Torrent,,Rain Dish,"Aqua Jet, Aqua Ring, Aqua Tail, Aura Sphere, Bite, Fake Out, Flail, Flash Cannon, Haze, Hydro Cannon, Hydro Pump, Iron Defense, Life Dew, Mirror Coat, Mist, Muddy Water, Protect, Rain Dance, Rapid Spin, Shell Smash, Skull Bash, Tackle, Tail Whip, Water Gun, Water Pulse, Water Spout, Withdraw, Yawn"
0010,Caterpie,Bug,,195,45,30,35,20,20,2.9 kg (6.4 lbs),Shield Dust,,Run Away,"Bug Bite, Electroweb, String Shot, Tackle"
0011,Metapod,Bug,,205,50,20,55,25,25,9.9 kg (21.8 lbs),Shed Skin,,,Harden
0012,Butterfree,Bug,Flying,395,60,45,50,90,80,32.0 kg (70.5 lbs),Compound Eyes,,Tinted Lens,"Aerial Ace, Air Slash, Attract, Bug Bite, Bug Buzz, Confusion, Defog, Double Team, Dream Eater, Endure, Energy Ball, Facade, Flash, Giga Drain, Giga Impact, Gust, Harden, Hyper Beam, Poison Powder, Protect, Psybeam, Psych Up, Psychic, Quiver Dance, Rage Powder, Rain Dance, Rest, Roost, Safeguard, Shadow Ball, Skill Swap, Sleep Powder, Sleep Talk, Solar Beam, String Shot, Stun Spore, Substitute, Sunny Day, Supersonic, Swagger, Tackle, Tailwind, Thief, U-turn, Whirlwind"
0013,Weedle,Bug,Poison,195,40,35,30,20,20,3.2 kg (7.1 lbs),Shield Dust,,Run Away,"Bug Bite, Poison Sting, String Shot"
0014,Kakuna,Bug,Poison,205,45,25,50,25,25,10.0 kg (22.0 lbs),Shed Skin,,,Harden
0015,Beedrill,Bug,Poison,395,65,90,40,45,80,29.5 kg (65.0 lbs),Swarm,,Sniper,"Aerial Ace, Agility, Assurance, Attract, Brick Break, Bug Bite, Cut, Defog, Double Team, Endeavor, Endure, Facade, False Swipe, Fell Stinger, Flash, Focus Energy, Fury Attack, Fury Cutter, Giga Drain, Giga Impact, Harden, Hyper Beam, Laser Focus, Outrage, Payback, Peck, Pin Missile, Poison Jab, Poison Sting, Protect, Rage, Rest, Rock Smash, Roost, Sleep Talk, Sludge Bomb, Solar Beam, String Shot, Substitute, Sunny Day, Swagger, Swords Dance, Thief, Toxic Spikes, Twineedle, U-turn, Venoshock, X-Scissor"
0015,Beedrill,Bug,Poison,495,65,150,40,15,80,29.5 kg (65.0 lbs),Swarm,,Sniper,"Aerial Ace, Agility, Assurance, Attract, Brick Break, Bug Bite, Cut, Defog, Double Team, Endeavor, Endure, Facade, False Swipe, Fell Stinger, Flash, Focus Energy, Fury Attack, Fury Cutter, Giga Drain, Giga Impact, Harden, Hyper Beam, Laser Focus, Outrage, Payback, Peck, Pin Missile, Poison Jab, Poison Sting, Protect, Rage, Rest, Rock Smash, Roost, Sleep Talk, Sludge Bomb, Solar Beam, String Shot, Substitute, Sunny Day, Swagger, Swords Dance, Thief, Toxic Spikes, Twineedle, U-turn, Venoshock, X-Scissor"
0016,Pidgey,Normal,Flying,251,40,45,40,35,35,1.8 kg (4.0 lbs),Keen Eye,Tangled Feet,Big Pecks,"Aerial Ace, Agility, Air Cutter, Air Slash, Attract, Brave Bird, Defog, Double Team, Endure, Facade, Feather Dance, Fly, Gust, Hurricane, Mirror Move, Pluck, Protect, Quick Attack, Rain Dance, Razor Wind, Rest, Roost, Sand Attack, Sleep Talk, Steel Wing, Substitute, Sunny Day, Swagger, Tackle, Tailwind, Thief, Twister, U-turn, Uproar, Whirlwind, Wing Attack, Work Up"
0017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,30.0 kg (66.1 lbs),Keen Eye,Tangled Feet,Big Pecks,"Aerial Ace, Agility, Air Cutter, Air Slash, Attract, Brave Bird, Defog, Double Team, Endure, Facade, Feather Dance, Fly, Gust, Hurricane, Mirror Move, Pluck, Protect, Quick Attack, Rain Dance, Razor Wind, Rest, Roost, Sand Attack, Sleep Talk, Steel Wing, Substitute, Sunny Day, Swagger, Tackle, Tailwind, Thief, Twister, U-turn, Uproar, Whirlwind, Wing Attack, Work Up"
0018,Pidgeot,Normal,Flying,479,83,80,75,70,70,39.5 kg (87.1 lbs),Keen Eye,Tangled Feet,Big Pecks,"Aerial Ace, Agility, Air Cutter, Air Slash, Attract, Brave Bird, Defog, Double Team, Endure, Facade, Feather Dance, Fly, Giga Impact, Gust, Heat Wave, Hurricane, Hyper Beam, Mirror Move, Pluck, Protect, Quick Attack, Rain Dance, Razor Wind, Rest, Roost, Sand Attack, Sky Attack, Sleep Talk, Steel Wing, Substitute, Sunny Day, Swagger, Tackle, Tailwind, Thief, Twister, U-turn, Uproar, Whirlwind, Wing Attack, Work Up"
0018,Pidgeot,Normal,Flying,579,83,80,80,135,80,39.5 kg (87.1 lbs),Keen Eye,Tangled Feet,Big Pecks,"Aerial Ace, Agility, Air Cutter, Air Slash, Attract, Brave Bird, Defog, Double Team, Endure, Facade, Feather Dance, Fly, Giga Impact, Gust, Heat Wave, Hurricane, Hyper Beam, Mirror Move, Pluck, Protect, Quick Attack, Rain Dance, Razor Wind, Rest, Roost, Sand Attack, Sky Attack, Sleep Talk, Steel Wing, Substitute, Sunny Day, Swagger, Tackle, Tailwind, Thief, Twister, U-turn, Uproar, Whirlwind, Wing Attack, Work Up"
0019,Rattata,Normal,,253,30,56,35,25,35,3.5 kg (7.7 lbs),Run Away,Guts,Hustle,"Assurance, Attract, Bite, Blizzard, Charge Beam, Counter, Crunch, Cut, Dig, Double Team, Double-Edge, Endeavor, Endure, Facade, Final Gambit, Flame Wheel, Focus Energy, Fury Swipes, Grass Knot, Hyper Fang, Ice Beam, Iron Tail, Laser Focus, Last Resort, Pluck, Protect, Quick Attack, Rain Dance, Rest, Revenge, Reversal, Rock Smash, Screech, Shadow Ball, Shock Wave, Sleep Talk, Sludge Bomb, Substitute, Sucker Punch, Sunny Day, Super Fang, Swagger, Tackle, Tail Whip, Take Down, Taunt, Thief, Thunder, Thunder Wave, Thunderbolt, Uproar, Work Up"
0019,Rattata,Dark,Normal,253,30,56,35,25,35,3.5 kg (7.7 lbs),Run Away,Guts,Hustle,"Assurance, Attract, Bite, Blizzard, Charge Beam, Counter, Crunch, Cut, Dig, Double Team, Double-Edge, Endeavor, Endure, Facade, Final Gambit, Flame Wheel, Focus Energy, Fury Swipes, Grass Knot, Hyper Fang, Ice Beam, Iron Tail, Laser Focus, Last Resort, Pluck, Protect, Quick Attack, Rain Dance, Rest, Revenge, Reversal, Rock Smash, Screech, Shadow Ball, Shock Wave, Sleep Talk, Sludge Bomb, Substitute, Sucker Punch, Sunny Day, Super Fang, Swagger, Tackle, Tail Whip, Take Down, Taunt, Thief, Thunder, Thunder Wave, Thunderbolt, Uproar, Work Up"
0020,Raticate,Normal,,413,55,81,60,50,70,18.5 kg (40.8 lbs),Run Away,Guts,Hustle,"Assurance, Attract, Bite, Blizzard, Charge Beam, Counter, Crunch, Cut, Dig, Double Team, Double-Edge, Endeavor, Endure, Facade, Final Gambit, Flame Wheel, Focus Energy, Fury Swipes, Giga Impact, Grass Knot, Hyper Beam, Ice Beam, Iron Tail, Laser Focus, Last Resort, Pluck, Protect, Quick Attack, Rain Dance, Rest, Revenge, Reversal, Roar, Rock Smash, Scary Face, Screech, Shadow Ball, Shock Wave, Sleep Talk, Sludge Bomb, Strength, Substitute, Sucker Punch, Sunny Day, Super Fang, Swagger, Swords Dance, Tackle, Tail Whip, Take Down, Taunt, Thief, Thunder, Thunder Wave, Thunderbolt, Uproar, Work Up"
0020,Raticate,Dark,Normal,413,75,71,70,40,80,18.5 kg (40.8 lbs),Run Away,Guts,Hustle,"Assurance, Attract, Bite, Blizzard, Charge Beam, Counter, Crunch, Cut, Dig, Double Team, Double-Edge, Endeavor, Endure, Facade, Final Gambit, Flame Wheel, Focus Energy, Fury Swipes, Giga Impact, Grass Knot, Hyper Beam, Ice Beam, Iron Tail, Laser Focus, Last Resort, Pluck, Protect, Quick Attack, Rain Dance, Rest, Revenge, Reversal, Roar, Rock Smash, Scary Face, Screech, Shadow Ball, Shock Wave, Sleep Talk, Sludge Bomb, Strength, Substitute, Sucker Punch, Sunny Day, Super Fang, Swagger, Swords Dance, Tackle, Tail Whip, Take Down, Taunt, Thief, Thunder, Thunder Wave, Thunderbolt, Uproar, Work Up"
0021,Spearow,Normal,Flying,262,40,60,30,31,31,2.0 kg (4.4 lbs),Keen Eye,,Sniper,"Aerial Ace, Agility, Assurance, Astonish, Attract, Defog, Double Team, Drill Peck, Endure, Facade, False Swipe, Feather Dance, Fly, Focus Energy, Fury Attack, Growl, Leer, Mirror Move, Peck, Pluck, Protect, Quick Attack, Rain Dance, Rest, Roost, Scary Face, Sky Attack, Sleep Talk, Steel Wing, Substitute, Sunny Day, Swagger, Take Down, Thief, Tri Attack, U-turn, Uproar, Whirlwind, Wing Attack, Work Up"
0022,Fearow,Normal,Flying,442,65,90,65,61,61,38.0 kg (83.8 lbs),Keen Eye,,Sniper,"Aerial Ace, Agility, Assurance, Astonish, Attract, Defog, Double Team, Drill Peck, Drill Run, Endure, Facade, False Swipe, Feather Dance, Fly, Focus Energy, Fury Attack, Giga Impact, Growl, Hyper Beam, Leer, Mirror Move, Peck, Pluck, Protect, Quick Attack, Rain Dance, Rest, Roost, Scary Face, Sky Attack, Sleep Talk, Steel Wing, Substitute, Sunny Day, Swagger, Take Down, Thief, Tri Attack, U-turn, Uproar, Whirlwind, Wing Attack, Work Up"
0023,Ekans,Poison,,288,35,60,44,40,54,6.9 kg (15.2 lbs),Intimidate,Shed Skin,Unnerve,"Acid, Acid Spray, Attract, Beat Up, Belch, Bite, Bulldoze, Coil, Dark Pulse, Dig, Disable, Double Team, Earthquake, Endure, Facade, Gastro Acid, Giga Drain, Glare, Gunk Shot, Haze, Iron Tail, Leer, Payback, Poison Fang, Poison Jab, Poison Sting, Poison Tail, Protect, Rain Dance, Rest, Rock Slide, Rock Tomb, Scary Face, Screech, Slam, Sleep Talk, Sludge Bomb, Spit Up, Spite, Stockpile, Strength, Substitute, Sucker Punch, Sunny Day, Swagger, Swallow, Switcheroo, Thief, Torment, Toxic, Wrap"
0024,Arbok,Poison,,448,60,95,69,65,79,65.0 kg (143.3 lbs),Intimidate,Shed Skin,Unnerve,"Acid, Acid Spray, Attract, Beat Up, Belch, Bite, Bulldoze, Coil, Crunch, Dark Pulse, Dig, Disable, Double Team, Earthquake, Endure, Facade, Fire Fang, Gastro Acid, Giga Drain, Giga Impact, Glare, Gunk Shot, Haze, Hyper Beam, Ice Fang, Iron Tail, Leer, Payback, Poison Fang, Poison Jab, Poison Sting, Poison Tail, Protect, Rain Dance, Rest, Rock Slide, Rock Tomb, Scary Face, Screech, Slam, Sleep Talk, Sludge Bomb, Spit Up, Spite, Stockpile, Strength, Substitute, Sucker Punch, Sunny Day, Swagger, Swallow, Switcheroo, Thief, Thunder Fang, Torment, Wrap"
0025,Pikachu,Electric,,320,35,55,40,50,50,6.0 kg (13.2 lbs),Static,,Lightning Rod,"Agility, Body Slam, Brick Break, Charge, Charge Beam, Charm, Dig, Disarming Voice, Discharge, Double Team, Draining Kiss, Eerie Impulse, Electric Terrain, Electro Ball, Encore, Endure, Facade, Fake Out, Fake Tears, Feint, Flail, Fling, Grass Knot, Growl, Helping Hand, Iron Tail, Light Screen, Nasty Plot, Nuzzle, Play Nice, Play Rough, Present, Protect, Quick Attack, Rain Dance, Reflect, Rest, Reversal, Sleep Talk, Spark, Substitute, Surf, Sweet Kiss, Swift, Tail Whip, Take Down, Tera Blast, Thief, Thunder, Thunder Punch, Thunder Shock, Thunder Wave, Thunderbolt, Tickle, Trailblaze, Volt Switch, Wild Charge, Wish"
0025,Pikachu,Electric,,430,45,80,50,75,60,6.0 kg (13.2 lbs),Static,,Lightning Rod,"Agility, Body Slam, Brick Break, Charge, Charge Beam, Charm, Dig, Disarming Voice, Discharge, Double Team, Draining Kiss, Eerie Impulse, Electric Terrain, Electro Ball, Encore, Endure, Facade, Fake Out, Fake Tears, Feint, Flail, Fling, Grass Knot, Growl, Helping Hand, Iron Tail, Light Screen, Nasty Plot, Nuzzle, Play Nice, Play Rough, Present, Protect, Quick Attack, Rain Dance, Reflect, Rest, Reversal, Sleep Talk, Spark, Substitute, Surf, Sweet Kiss, Swift, Tail Whip, Take Down, Tera Blast, Thief, Thunder, Thunder Punch, Thunder Shock, Thunder Wave, Thunderbolt, Tickle, Trailblaze, Volt Switch, Wild Charge, Wish"
0026,Raichu,Electric,,485,60,90,55,90,80,30.0 kg (66.1 lbs),Static,,Lightning Rod,"Agility, Charge, Charm, Disarming Voice, Discharge, Double Team, Electro Ball, Fake Out, Feint, Flail, Growl, Iron Tail, Light Screen, Nasty Plot, Nuzzle, Play Nice, Present, Psychic, Quick Attack, Spark, Sweet Kiss, Tail Whip, Thunder, Thunder Punch, Thunder Shock, Thunder Wave, Thunderbolt, Tickle, Wish"
0026,Raichu,Electric,Psychic,485,60,85,50,95,85,30.0 kg (66.1 lbs),Static,,Lightning Rod,"Agility, Charge, Charm, Disarming Voice, Discharge, Double Team, Electro Ball, Fake Out, Feint, Flail, Growl, Iron Tail, Light Screen, Nasty Plot, Nuzzle, Play Nice, Present, Psychic, Quick Attack, Spark, Sweet Kiss, Tail Whip, Thunder, Thunder Punch, Thunder Shock, Thunder Wave, Thunderbolt, Tickle, Wish"
0027,Sandshrew,Ground,,300,50,75,85,20,30,12.0 kg (26.5 lbs),Sand Veil,,Sand Rush,"Aerial Ace, Agility, Attract, Brick Break, Bulldoze, Counter, Crush Claw, Cut, Defense Curl, Dig, Double Team, Earthquake, Endure, Facade, Flail, Fling, Focus Punch, Fury Cutter, Fury Swipes, Gyro Ball, Hone Claws, Iron Tail, Metal Claw, Mud Shot, Mud-Slap, Night Slash, Poison Jab, Poison Sting, Protect, Rapid Spin, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Rollout, Safeguard, Sand Attack, Sandstorm, Scratch, Shadow Claw, Slash, Sleep Talk, Stealth Rock, Strength, Substitute, Sunny Day, Swagger, Swift, Swords Dance, Thief, Work Up, X-Scissor"
0027,Sandshrew,Ice,Steel,300,50,75,90,10,35,12.0 kg (26.5 lbs),Sand Veil,,Sand Rush,"Aerial Ace, Agility, Attract, Brick Break, Bulldoze, Counter, Crush Claw, Cut, Defense Curl, Dig, Double Team, Earthquake, Endure, Facade, Flail, Fling, Focus Punch, Fury Cutter, Fury Swipes, Gyro Ball, Hone Claws, Iron Tail, Metal Claw, Mud Shot, Mud-Slap, Night Slash, Poison Jab, Poison Sting, Protect, Rapid Spin, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Rollout, Safeguard, Sand Attack, Sandstorm, Scratch, Shadow Claw, Slash, Sleep Talk, Stealth Rock, Strength, Substitute, Sunny Day, Swagger, Swift, Swords Dance, Thief, Work Up, X-Scissor"
0028,Sandslash,Ground,,450,75,100,110,45,55,29.5 kg (65.0 lbs),Sand Veil,,Sand Rush,"Aerial Ace, Agility, Attract, Brick Break, Bulldoze, Counter, Crush Claw, Cut, Defense Curl, Dig, Double Team, Earthquake, Endure, Facade, Flail, Fling, Focus Blast, Focus Punch, Fury Cutter, Fury Swipes, Giga Impact, Gyro Ball, Hone Claws, Hyper Beam, Iron Tail, Metal Claw, Mud Shot, Mud-Slap, Night Slash, Poison Jab, Poison Sting, Protect, Rapid Spin, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Rollout, Safeguard, Sand Attack, Sand Tomb, Sandstorm, Scratch, Shadow Claw, Slash, Sleep Talk, Stealth Rock, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Swift, Swords Dance, Thief, Work Up, X-Scissor"
0028,Sandslash,Ice,Steel,450,75,100,120,25,65,29.5 kg (65.0 lbs),Sand Veil,,Sand Rush,"Aerial Ace, Agility, Attract, Brick Break, Bulldoze, Counter, Crush Claw, Cut, Defense Curl, Dig, Double Team, Earthquake, Endure, Facade, Flail, Fling, Focus Blast, Focus Punch, Fury Cutter, Fury Swipes, Giga Impact, Gyro Ball, Hone Claws, Hyper Beam, Iron Tail, Metal Claw, Mud Shot, Mud-Slap, Night Slash, Poison Jab, Poison Sting, Protect, Rapid Spin, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Rollout, Safeguard, Sand Attack, Sand Tomb, Sandstorm, Scratch, Shadow Claw, Slash, Sleep Talk, Stealth Rock, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Swift, Swords Dance, Thief, Work Up, X-Scissor"
0029,Nidoran♀,Poison,,275,55,47,52,40,40,,,,,"None, None"
0030,Nidorina,Poison,,365,70,62,67,55,55,20.0 kg (44.1 lbs),Poison Point,Rivalry,Hustle,"Aerial Ace, Attract, Beat Up, Bite, Blizzard, Charm, Counter, Crunch, Cut, Dig, Disable, Double Kick, Double Team, Earth Power, Endure, Facade, Flatter, Focus Energy, Fury Swipes, Growl, Helping Hand, Ice Beam, Iron Tail, Poison Fang, Poison Jab, Poison Sting, Poison Tail, Protect, Rain Dance, Rest, Rock Smash, Scratch, Shadow Claw, Shock Wave, Skull Bash, Sleep Talk, Sludge Bomb, Strength, Substitute, Sunny Day, Supersonic, Swagger, Tail Whip, Take Down, Thief, Thunder, Thunderbolt, Toxic, Toxic Spikes, Venom Drench, Water Pulse"
0031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,60.0 kg (132.3 lbs),Poison Point,Rivalry,Sheer Force,"Aerial Ace, Attract, Avalanche, Beat Up, Bite, Blizzard, Brick Break, Bulldoze, Charm, Counter, Crunch, Cut, Dig, Disable, Double Kick, Double Team, Dragon Pulse, Earth Power, Earthquake, Endure, Facade, Fire Blast, Flamethrower, Flatter, Fling, Focus Blast, Focus Energy, Focus Punch, Fury Swipes, Giga Impact, Growl, Helping Hand, Hyper Beam, Ice Beam, Iron Tail, Poison Fang, Poison Jab, Poison Sting, Poison Tail, Protect, Rain Dance, Rest, Roar, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Sandstorm, Scratch, Shadow Ball, Shadow Claw, Shock Wave, Skull Bash, Sleep Talk, Sludge Bomb, Sludge Wave, Stealth Rock, Stone Edge, Strength, Substitute, Sunny Day, Superpower, Supersonic, Surf, Swagger, Tail Whip, Take Down, Taunt, Thief, Thunder, Thunderbolt, Torment, Toxic, Toxic Spikes, Venom Drench, Water Pulse"
0032,Nidoran♂,Poison,,273,46,57,40,40,40,,,,,"None, None"
