Name,Description,Effect
Delta Stream,Creates strong winds when the ability activates.,Delta Stream creates strong winds when the ability is activated (by Rayquaza Mega-Evolving).
Desolate Land,Turns the sunlight extremely harsh when the ability activates.,Desolate Land creates extremely harsh sunlight when the ability is activated (by Groudon reverting to its Primal form).
Disguise,Avoids damage for one turn.,"Disguise allows the bearer to avoid damage for one attack, in a similar way to Substitute."
Download,Adjusts power according to a foe's defenses.,"Download raises either the bearer's Attack or Special Attack by one stage when switching into battle, base on the opponent's defenses."
Dragon's Maw,Powers up Dragon-type moves.,Dragon's Maw increases the power of Dragon-type moves used by this Pokémon by 50%.
Drizzle,The Pokémon makes it rain when it enters a battle.,"Drizzle creates a rain shower when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition."
Drought,Turns the sunlight harsh when the Pokémon enters a battle.,"Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition."
Dry Skin,Reduces HP if it is hot. Water restores HP.,Dry Skin causes several effects:
Early Bird,The Pokémon awakens quickly from sleep.,"The Pokémon awakens quickly from sleep.
"
Earth Eater,Restores HP when hit by a Ground-type move.,"Restores HP when hit by a Ground-type move.
"
Effect Spore,Contact may poison or cause paralysis or sleep.,"Contact may poison or cause paralysis or sleep.
"
Electric Surge,The Pokémon creates an Electric Terrain when it enters a battle.,"Electric Surge creates a low-lying electric field, like the move Electric Terrain, when the Pokémon enters battle. It prevents grounded Pokémon from falling asleep, and increases the power of Electric type attacks."
Electromorphosis,Doubles power of the next Electric-type move when hit by an attack.,"If a Pokémon with Electromorphosis is hit by an attack, the power of the next Electric-type move it uses is doubled."
Emergency Exit,Switches out when HP falls below 50%.,"Switches out when HP falls below 50%.
"
Fairy Aura,Raises power of Fairy type moves for all Pokémon in battle.,"Fairy Aura raises the power of Fairy-type moves by 33%, for all Pokémon on the field (not just the ability-bearer)."
Filter,Reduces damage from super-effective attacks.,Filter reduces the damage taken from super-effective attacks by 25%.
Flame Body,Contact with the Pokémon may burn the attacker.,"If a Pokémon with Flame Body is hit by a move that makes contact, there is a 30% chance the attacker will become burned."
Flare Boost,Powers up special attacks when burned.,"Powers up special attacks when burned.
"
Flash Fire,It powers up Fire-type moves if it's hit by one.,"When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle."
Flower Gift,Powers up party Pokémon when it is sunny.,Flower Gift raises the Attack and Special Defense of all party Pokémon by 50% during harsh sunlight.
Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,"Flower Veil prevents ally Grass-type Pokémon's stats from being lowered, in double and triple battles."
Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.","Fluffy reduces damage from contact moves by 50%, but Fire-type moves do double damage. Fire-type moves that make contact do regular damage."
Forecast,Castform transforms with the weather.,"Castform transforms with the weather.
"
Forewarn,Determines what moves a foe has.,"Determines what moves a foe has.
"
Friend Guard,Reduces damage done to allies.,"Reduces damage done to allies.
"
Frisk,The Pokémon can check a foe's held item.,"The Pokémon can check a foe's held item.
"
Full Metal Body,Prevents other Pokémon from lowering its stats.,"Prevents other Pokémon from lowering its stats.
"
Fur Coat,Reduces damage from physical moves.,Fur Coat reduces damage taken from physical attacks by 50%.
Gale Wings,Gives priority to Flying-type moves.,"Gives priority to Flying-type moves.
"
Galvanize,Normal-type moves become Electric-type moves and their power boosted.,"Normal-type moves become Electric-type moves and their power boosted.
"
Gluttony,Encourages the early use of a held Berry.,"A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%."
Good as Gold,Gives immunity to status moves.,"Gives immunity to status moves.
"
Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,"Contact with the Pokémon lowers the attacker's Speed stat.
"
Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,"Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
"
Grass Pelt,Boosts the Defense stat in Grassy Terrain.,"Boosts the Defense stat in Grassy Terrain.
"
Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.,"Grassy Surge creates a low-lying grassy field, like the move Grassy Terrain, when the Pokémon enters battle. It restores the HP of grounded Pokémon each turn and increases the power of Grass type attacks."
Grim Neigh,Boosts Special Attack after knocking out a Pokémon.,"Boosts Special Attack after knocking out a Pokémon.
"
Guard Dog,"Boosts Attack if intimidated, and prevents being forced to switch out.","Boosts Attack if intimidated, and prevents being forced to switch out.
"
Gulp Missile,Returns with a catch in its mouth after using Surf or Dive.,"Gulp Missile is the signature ability of Cramorant. If Cramorant uses the move Surf or Dive, it returns with a fish in its mouth. If Cramorant then takes damage, it retaliates by spitting out the fish, dealing extra damage."
Guts,Boosts Attack if there is a status problem.,"Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."
Hadron Engine,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active.","Creates an Electric Terrain when entering battle, and boosts Special Attack while active.
"
Harvest,May create another Berry after one is used.,"May create another Berry after one is used.
"
Healer,May heal an ally's status conditions.,"May heal an ally's status conditions.
"
Heatproof,Weakens the power of Fire-type moves.,"Heatproof reduces the damage taken from Fire-type moves by 50%. It also halves the damage from a burn, from 1⁄8 to 1⁄16 of the Pokémon's maximum HP."
Heavy Metal,Doubles the Pokémon's weight.,Heavy Metal doubles the Pokémon's weight in battle. Increasing weight affects these moves:
Honey Gather,The Pokémon may gather Honey from somewhere.,Honey Gather has no effect in battle.
Huge Power,Raises the Pokémon's Attack stat.,"Raises the Pokémon's Attack stat.
"
Hunger Switch,Changes forms each turn.,"Hunger Switch causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode. Morpeko's form also changes the type of its signature move, Aura Wheel."
Hustle,"Boosts the Attack stat, but lowers accuracy.","Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."
Hydration,Heals status problems if it is raining.,"A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest."
Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,"Hyper Cutter prevents the bearer's Attack stat from being lowered by other Pokémon, through moves such as Growl or abilities such as Intimidate."
Ice Body,The Pokémon gradually regains HP in a hailstorm.,"A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune."
Ice Face,Avoids damage from Physical moves for one turn.,"Ice Face is the signature ability of Eiscue. It allows the Pokémon to take a physical attack without taking damage. After the attack, Eiscue changes to its No Ice Face form, however, it can be restored in hail."
Ice Scales,Halves damage from Special moves.,"Halves damage from Special moves.
"
Illuminate,Raises the likelihood of meeting wild Pokémon.,Illuminate has no effect in battle.
Illusion,Enters battle disguised as the last Pokémon in the party.,"When a Pokémon with the Illusion ability switches into battle, it takes the form of the Pokémon in last place (6th) of the player's party. Illusion will not activate if the Pokémon in last place is the same species or is fainted."
Immunity,Prevents the Pokémon from getting poisoned.,"Prevents the Pokémon from getting poisoned.
"
Imposter,It transforms itself into the Pokémon it is facing.,"It transforms itself into the Pokémon it is facing.
"
Infiltrator,Passes through the foe's barrier and strikes.,"Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them."
Innards Out,Deals damage upon fainting.,"When a Pokémon with Innards Out faints, it deals damage to the opponent equal to amount of damage it took on the final blow."
Inner Focus,The Pokémon is protected from flinching.,"Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt."
Insomnia,Prevents the Pokémon from falling asleep.,"Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest."
Intimidate,Lowers the foe's Attack stat.,Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle).
Intrepid Sword,Boosts Attack in battle.,"Boosts Attack in battle.
"
Iron Barbs,Inflicts damage to the Pokémon on contact.,"When a Pokémon with Iron Barbs is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP."
Iron Fist,Boosts the power of punching moves.,Iron Fist increases the power of all punching moves by 20%.
Justified,Raises Attack when hit by a Dark-type move.,Justified raises the ability-bearer's Attack by one stage when hit by a damaging Dark-type move.
Keen Eye,Prevents other Pokémon from lowering accuracy.,"Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack."
Klutz,The Pokémon can't use any held items.,"The Pokémon can't use any held items.
"
Leaf Guard,Prevents problems with status in sunny weather.,"Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather."
Levitate,Gives immunity to Ground type moves.,Levitate causes the Pokémon to be raised (like Flying-type Pokémon).
Libero,Changes the Pokémon's type to its last used move.,Libero changes the Pokémon's type to that of its previously used attack.
Light Metal,Halves the Pokémon's weight.,Light Metal halves the Pokémon's weight in battle. Decreasing weight affects these moves:
Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,"Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles."
Limber,The Pokémon is protected from paralysis.,"The Pokémon is protected from paralysis.
"
Lingering Aroma,Contact changes the attacker's Ability to Lingering Aroma.,"Contact changes the attacker's Ability to Lingering Aroma.
"
Liquid Ooze,Damages attackers using any draining move.,"Damages attackers using any draining move.
"
Liquid Voice,All sound-based moves become Water-type moves.,Liquid Voice causes all sound-based moves used by the Pokémon to become Water type. Water type Pokémon also gain STAB from those moves.
Long Reach,The Pokémon uses its moves without making contact with the target.,"The Pokémon uses its moves without making contact with the target.
"
Magic Bounce,Reflects status- changing moves.,"Reflects status- changing moves.
"
Magic Guard,Protects the Pokémon from indirect damage.,"Magic Guard protects the Pokémon from indirect damage, including:"
Magician,The Pokémon steals the held item of a Pokémon it hits with a move.,"The Pokémon steals the held item of a Pokémon it hits with a move.
"
Magma Armor,Prevents the Pokémon from becoming frozen.,"Magma Armor prevents the Pokémon from becoming frozen, for example from moves like Blizzard."
Magnet Pull,Prevents Steel-type Pokémon from escaping.,Magnet Pull prevents Steel type Pokémon from switching out of battle or fleeing.
Marvel Scale,Ups Defense if there is a status problem.,"Marvel Scale raises the ability-bearer's Defense by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep)."
Mega Launcher,Boosts the power of aura and pulse moves.,Mega Launcher increases the power of all aura and pulse moves by 50%. Heal Pulse boosts the HP restored by 50%.
Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,"The Pokémon's attacks become critical hits if the target is poisoned.
"
Mimicry,Changes type depending on the terrain.,"Changes type depending on the terrain.
"
Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.,"Ups Sp. Atk if another Pokémon has Plus or Minus.
"
Mirror Armor,Reflects any stat-lowering effects.,"Reflects any stat-lowering effects.
"
Misty Surge,The Pokémon creates a Misty Terrain when it enters a battle.,"Misty Surge creates a low-lying mist, like the move Misty Terrain, when the bearer enters battle. It protects all grounded Pokémon from status conditions and halves the power of Dragon type attacks."
Mold Breaker,Moves can be used regardless of Abilities.,"Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."
Moody,Raises one stat and lowers another.,"Raises one stat and lowers another.
"
Motor Drive,Raises Speed if hit by an Electric-type move.,"Raises Speed if hit by an Electric-type move.
"
Moxie,Boosts Attack after knocking out any Pokémon.,Moxie increases the user's Attack one stage upon fainting an opponent.
Multiscale,Reduces damage when HP is full.,"Reduces damage when HP is full.
"
Multitype,Changes type to match the held Plate.,Multitype changes the ability-bearer's type if it is holding one of the Type Plate items. Moves of the corresponding type receive STAB.
Mummy,Contact with this Pokémon spreads this Ability.,"Contact with this Pokémon spreads this Ability.
"
Mycelium Might,"Status moves go last, but are not affected by the opponent's ability.","Status moves go last, but are not affected by the opponent's ability.
"
Natural Cure,All status problems heal when it switches out.,"All status problems heal when it switches out.
"
Neuroforce,Powers up moves that are super effective.,"Powers up moves that are super effective.
"
Neutralizing Gas,Neutralizes abilities of all Pokémon in battle.,"Neutralizes abilities of all Pokémon in battle.
"
No Guard,Ensures attacks by or against the Pokémon land.,"No Guard ensures that all attacks used by, and targeted at, the ability-bearer hit without fail."
Normalize,All the Pokémon's moves become the Normal type.,"Normalize causes all moves used by the Pokémon to become Normal-type, and attacking moves increase in power by 20%."
Oblivious,Prevents it from becoming infatuated.,"Oblivious makes the Pokémon immune to gender-based moves and abilities, specifically Attract, Captivate and Cute Charm."
Opportunist,Copies stat boosts by the opponent.,"Copies stat boosts by the opponent.
"
Orichalcum Pulse,"Turns the sunlight harsh when entering battle, and boosts Attack while active.","Turns the sunlight harsh when entering battle, and boosts Attack while active.
"
Overcoat,Protects the Pokémon from weather damage.,Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).
Overgrow,Powers up Grass-type moves in a pinch.,Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).
Own Tempo,Prevents the Pokémon from becoming confused.,"Prevents the Pokémon from becoming confused.
"
Parental Bond,Allows the Pokémon to attack twice.,"Parental Bond allows the ability-bearer to attack twice. The second attack hits with 25% of the power, so in effect it is equivalent to a 25% boost to all attacks."
Pastel Veil,Prevents the Pokémon and its allies from being poisoned.,Pastel Veil prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.
Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.
"
Pickpocket,Steals an item when hit by another Pokémon.,"Steals an item when hit by another Pokémon.
"
Pickup,The Pokémon may pick up items.,"When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again."
Pixilate,Turns Normal-type moves into Fairy-type moves.,"Pixilate causes all Normal-type attacking moves used by the Pokémon to become Fairy-type, and increase in power by 20%."
Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.,"Ups Sp. Atk if another Pokémon has Plus or Minus.
"
Poison Heal,Restores HP if the Pokémon is poisoned.,"Restores HP if the Pokémon is poisoned.
"
Poison Point,Contact with the Pokémon may poison the attacker.,"Contact with the Pokémon may poison the attacker.
"
Poison Touch,May poison targets when a Pokémon makes contact.,"May poison targets when a Pokémon makes contact.
"
Power Construct,Changes form when HP drops below half.,"Power Construct is unique to Zygarde. When Zygarde 10% Forme or Zygarde 50% Forme falls below half HP, it changes into Zygarde Complete Forme."
Power of Alchemy,The Pokémon copies the Ability of a defeated ally.,"The Pokémon copies the Ability of a defeated ally.
"
Power Spot,Just being next to the Pokémon powers up moves.,"Just being next to the Pokémon powers up moves.
"
Prankster,Gives priority to a status move.,Prankster increases the priority of status moves by +1.
Pressure,The Pokémon raises the foe's PP usage.,Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.
Primordial Sea,Makes it rain heavily when the ability activates.,Primordial Sea creates heavy rain when the ability is activated (by Kyogre reverting to its Primal form).
Prism Armor,Reduces damage from super-effective attacks.,"Prism Armor reduces the damage taken from super-effective attacks by 25%. It is not affected by the abilities Mold Breaker, Teravolt, or Turboblaze."
Propeller Tail,Ignores moves and abilities that draw in moves.,"Ignores moves and abilities that draw in moves.
"
Protean,Changes the Pokémon's type to its last used move.,Protean changes the Pokémon's type to that of its previously used attack.
Protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.","Raises highest stat in harsh sunlight, or if holding Booster Energy.
"
Psychic Surge,The Pokémon creates a Psychic Terrain when it enters a battle.,"Psychic Surge creates a low-lying psychic field, like the move Psychic Terrain, when the Pokémon enters battle. It prevents high-priority moves being used and increases the power of Psychic type attacks."
Punk Rock,Boosts sound-based moves and halves damage from the same moves.,"Boosts sound-based moves and halves damage from the same moves.
"
Pure Power,Raises the Pokémon's Attack stat.,"Raises the Pokémon's Attack stat.
"
Purifying Salt,Protects from status conditions and halves damage from Ghost-type moves.,"Protects from status conditions and halves damage from Ghost-type moves.
"
Quark Drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.","Raises highest stat on Electric Terrain, or if holding Booster Energy.
"
Queenly Majesty,Prevents use of priority moves.,"Prevents use of priority moves.
"
Quick Draw,,
Quick Feet,Boosts Speed if there is a status problem.,"Quick Feet raises the ability-bearer's Speed by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If paralyzed, the Pokémon does not suffer the usual drop in Speed."
Rain Dish,The Pokémon gradually regains HP in rain.,"A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn."
Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed.","When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages)."
Receiver,Inherits an ally's ability when it faints.,A Pokémon with Receiver will inherit the ability of a teammate in a double/triple battle when that teammate faints.
Reckless,Powers up moves that have recoil damage.,"Reckless increases the power of recoil moves by 20%. By extension, this means the amount of recoil damage taken will increase as more damage is dealt (except for High Jump Kick and Jump Kick which are based on the user's HP)."
Refrigerate,Turns Normal-type moves into Ice-type moves.,"Refrigerate causes all Normal-type attacking moves used by the Pokémon to become Ice-type, and increase in power by 20%."
Regenerator,Restores a little HP when withdrawn from battle.,A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.
Ripen,Doubles the effect of berries.,"Doubles the effect of berries.
"
Rivalry,Deals more damage to a Pokémon of same gender.,"Deals more damage to a Pokémon of same gender.
"
RKS System,Changes type depending on held item.,"Changes type depending on held item.
"
Rock Head,Protects the Pokémon from recoil damage.,"Protects the Pokémon from recoil damage.
"
Rocky Payload,Powers up Rock-type moves.,Rocky Payload increases the power of Rock-type moves used by this Pokémon by 50%.
Rough Skin,Inflicts damage to the attacker on contact.,"When a Pokémon with Rough Skin is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP."
Run Away,Enables a sure getaway from wild Pokémon.,"Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap."
Sand Force,Boosts certain moves' power in a sandstorm.,"Sand Force raises the power of Ground, Rock and Steel type moves by 30% during a sandstorm."
Sand Rush,Boosts the Pokémon's Speed in a sandstorm.,Sand Rush doubles the ability-bearer's Speed during a sandstorm.
Sand Spit,Creates a sandstorm when hit by an attack.,"Creates a sandstorm when hit by an attack.
"
Sand Stream,The Pokémon summons a sandstorm in battle.,"Sand Stream creates a sandstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition."
Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type).
Sap Sipper,Boosts Attack when hit by a Grass-type move.,"Boosts Attack when hit by a Grass-type move.
"
Schooling,Changes Wishiwashi to School Form.,"Schooling changes Wishiwashi into its School Form, if its HP is above 25% and Wishiwashi is at least level 20. If its HP falls below 25%, Wishiwashi will revert back to Solo Form."
Scrappy,Enables moves to hit Ghost-type Pokémon.,"Enables moves to hit Ghost-type Pokémon.
"
Screen Cleaner,"Nullifies effects of Light Screen, Reflect, and Aurora Veil.","Nullifies effects of Light Screen, Reflect, and Aurora Veil.
"
Seed Sower,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,"Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
"
Serene Grace,Boosts the likelihood of added effects appearing.,"Serene Grace doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items King's Rock and Razor Fang from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance)."
Shadow Shield,Reduces damage when HP is full.,"Reduces damage when HP is full.
"
Shadow Tag,Prevents the foe from escaping.,"Prevents the foe from escaping.
"
Sharpness,Powers up slicing moves.,"Powers up slicing moves.
"
Shed Skin,The Pokémon may heal its own status problems.,"The Pokémon may heal its own status problems.
"
Sheer Force,Removes added effects to increase move damage.,"Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects."
Shell Armor,The Pokémon is protected against critical hits.,Shell Armor prevents the Pokémon from receiving a critical hit.
Shield Dust,Blocks the added effects of attacks taken.,"Blocks the added effects of attacks taken.
"
Shields Down,Changes stats when HP drops below half.,Shields Down causes the Pokémon to changes its appearance and stats depending on its remaining HP.
Simple,Doubles all stat changes.,"The Simple ability doubles the number of stages of all stat changes. Stats can be raised to a maximum of +6 stages each, or lowered to a minimum of -6 stages each."
Skill Link,Increases the frequency of multi-strike moves.,Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.
Slow Start,Temporarily halves Attack and Speed.,"Temporarily halves Attack and Speed.
"
Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,"Boosts the Pokémon's Speed stat in a hailstorm.
"
